Var1,Colony,density_5km,density_15km,density_30km,type,season,Date___fert,Name,newChip,Sex,AGE,pupSex,pup,FA_mom,FA_pup,Weight_mom,pup_weight,preg_list,non_preg_list,min_reproductive_state,Reproductive_State,comments,BellyWidth,preg_parasites,parasites,nonpreg_parasites,temprature_IMS,,,date,BMI,preg_ratio,Reproductive_State_numeric,,min_morphology_numeric,min_morphology,morphology,group,real_year,winter_group,mom&preg
24,Segafim,407.8869522,341.8639742,923.1368704,rural,spring,28-Mar-0023,SG-3,NaN,F,adult,M,1,92,37,120,21,NaN,1,mom pup,mom pup,,NaN,NaN,0,0,14.8,,,91,1.769230769,0.863636364,0,,1,natural,chalk cave,1,1,0,1
25,Segafim,407.8869522,341.8639742,923.1368704,rural,spring,28-Mar-0023,SG-4,NaN,F,adult,F,1,94,46,131,27,NaN,1,mom pup,mom pup,,NaN,NaN,1,1,14.8,,,91,1.388888889,0.863636364,0,,1,natural,chalk cave,1,1,0,1
27,Segafim,407.8869522,341.8639742,923.1368704,rural,spring,28-Mar-0023,SG-6,NaN,F,adult,M,1,93,41,130,24,NaN,1,mom pup,mom pup,,NaN,NaN,3,3,14.8,,,91,1.791666667,0.863636364,0,,1,natural,chalk cave,1,1,0,1
28,Segafim,407.8869522,341.8639742,923.1368704,rural,spring,28-Mar-0023,SG-7,NaN,F,adult,M,1,92,42,126,29,NaN,1,mom pup,mom pup,,NaN,NaN,0,0,14.8,,,91,1.760869565,0.863636364,0,,1,natural,chalk cave,1,1,0,1
30,Segafim,407.8869522,341.8639742,923.1368704,rural,spring,28-Mar-0023,SG-9,NaN,F,adult,M,1,94,42,120,23,NaN,1,mom pup,mom pup,,NaN,NaN,2,2,14.8,,,91,1.473684211,0.863636364,0,,1,natural,chalk cave,1,1,0,1
31,Segafim,407.8869522,341.8639742,923.1368704,rural,spring,28-Mar-0023,SG-10,NaN,F,adult,F,1,96,41,130,19,NaN,1,mom pup,mom pup,,NaN,NaN,0,0,14.8,,,91,1.204301075,0.863636364,0,,1,natural,chalk cave,1,1,0,1
32,Segafim,407.8869522,341.8639742,923.1368704,rural,spring,28-Mar-0023,SG-11,NaN,F,adult,M,1,96,39,127,21,NaN,1,mom pup,mom pup,,NaN,NaN,0,0,14.8,,,91,1.78021978,0.863636364,0,,1,natural,chalk cave,1,1,0,1
37,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,06-Apr-0023,TS-1,NaN,F,adult,M,1,91,40,127,20,NaN,1,mom pup,mom pup,,NaN,NaN,5,5,18.6,,,91,1.757894737,0.863636364,0,,1,natural,chalk cave,1,1,0,1
40,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,06-Apr-0023,TS-4,NaN,F,adult,M,1,96,48,139,26,NaN,1,mom pup,mom pup,,NaN,NaN,2,2,18.6,,,91,1.417582418,0.863636364,0,,1,natural,chalk cave,1,1,0,1
42,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,06-Apr-0023,TS-6,NaN,F,adult,F,1,99,49,133,28,NaN,1,mom pup,mom pup,,NaN,NaN,4,4,18.6,,,91,1.655555556,0.863636364,0,,1,natural,chalk cave,1,1,0,1
43,Tinshemet,522.560257,1929.634255,3289.412398,rural,spring,06-Apr-0023,TS-7,NaN,F,adult,F,1,92,48,117,23,NaN,1,mom pup,mom pup,,NaN,NaN,1,1,18.6,,,91,1.631578947,0.863636364,0,,1,natural,chalk cave,1,1,0,1
