Var1,Colony,density_5km,density_15km,density_30km,type,season,Date___fert,Name,newChip,Sex,AGE,pupSex,pup,FA_mom,FA_pup,Weight_mom,BMI,aFM,pup_weight,preg_list,non_preg_list,min_reproductive_state,Reproductive_State,comments,BellyWidth,preg_parasites,parasites,nonpreg_parasites,temprature_IMS,,,date,preg_ratio,Reproductive_State_numeric,,min_morphology_numeric,min_morphology,morphology,group,mom&preg,winter_group
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,05-Jul-22,,538181,F,Adult,F,1,93,61,127,1.365591398,,41,NaN,1,mom pup,mom pup,,NaN,NaN,2,2,24.9,,,91,0.90625,,,1,natural,limestone cave,1,1,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,05-Jul-22,,538671,F,Adult,F,1,92,57,128,1.391304348,,38,NaN,1,mom pup,mom pup,,NaN,NaN,1,1,24.9,,,91,0.90625,,,1,natural,limestone cave,1,1,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,05-Jul-22,,538669,F,Adult,M,1,100,71,129,1.29,,48,NaN,1,mom pup,mom pup,,NaN,NaN,5,5,24.9,,,91,0.90625,,,1,natural,limestone cave,1,1,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,05-Jul-22,,538210,F,Adult,M,1,93,44,102,1.096774194,,31,NaN,1,mom pup,mom pup,,NaN,NaN,2,2,24.9,,,91,0.90625,,,1,natural,limestone cave,1,1,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,14-Apr-22,,348603,F,Adult,,0,95,NaN,126,1.326315789,,NaN,NaN,1,non pregnant,post lactating,flat nipple,NaN,NaN,2,2,18.6,,,10,0.733333333,,,0,man made,bridge,1,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,14-Apr-22,,538288,F,Adult,M,1,92,52,138,1.5,,32.2,NaN,1,non pregnant,lactating,,NaN,NaN,2,2,18.6,,,10,0.733333333,,,0,man made,bridge,1,1,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,14-Apr-22,,348623,F,Adult,F,1,94,49,130,1.382978723,,24.6,NaN,1,non pregnant,lactating,,NaN,NaN,1,1,18.6,,,10,0.733333333,,,0,man made,bridge,1,1,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,14-Apr-22,,538578,F,Adult,,0,92,NaN,149,1.619565217,,NaN,NaN,1,non pregnant,post lactating,flay dry nipple,NaN,NaN,2,2,18.6,,,10,0.733333333,,,0,man made,bridge,1,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,14-Apr-22,,538579,F,Adult,,0,89,NaN,110,1.235955056,,NaN,NaN,1,non pregnant,post lactating,flay dry nipple,NaN,NaN,0,0,18.6,,,1,0.8,,,0,man made,abandoned building,1,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,14-Apr-22,,348390,F,Adult,,0,90,NaN,123,1.366666667,,NaN,NaN,1,non pregnant,post lactating,flay dry nipple,NaN,NaN,0,0,18.6,,,1,0.8,,,0,man made,abandoned building,1,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,14-Apr-22,,348616,F,Adult,,0,93,NaN,122,1.311827957,,NaN,NaN,1,non pregnant,reproductive non pregnant,,NaN,NaN,1,1,18.6,,,1,0.8,,,0,man made,abandoned building,1,0,
,Tinshemet,522.560257,1929.634255,3289.412398,rural,,14-Apr-22,,538608,F,Adult,,0,92,NaN,120,1.304347826,,NaN,NaN,1,non pregnant,post lactating,flay dry nipple,NaN,NaN,1,1,18.6,,,1,0.8,,,0,man made,abandoned building,1,0,
