Date___fert,date,Colony,type,Name,density_5km,density_15km,newChip,Sex,AGE,pup sex,pup,FA_mom,FA_pup,Weight_mom,pup_weight,preg_list,non_preg_list,min_reproductive_state,Reproductive_State,comments,BellyWidth,preg_parasites,parasites,nonpreg_parasites,mom&preg,Reproductive_State_numeric,temprature_IMS
22-Mar-23,85,Bridge,city,BR-1,13151.92898,5691.626481,,F,adult,M,1,95,40,136,25,,1,non pregnant,mom pup,,,,3,3,1,,16.4
22-Mar-23,85,Bridge,city,BR-2,13151.92898,5691.626481,,F,adult,M,1,91,39,126,23,,1,non pregnant,mom pup,,,,0,0,1,,16.4
22-Mar-23,85,Bridge,city,BR-3,13151.92898,5691.626481,,F,adult,M,1,93,42,147,24,,1,non pregnant,mom pup,,,,6,6,1,,16.4
22-Mar-23,85,Bridge,city,BR-4,13151.92898,5691.626481,,F,adult,,0,91,,157,,1,,pregnant,pregnant,,47,3,3,,1,,16.4
22-Mar-23,85,Bridge,city,BR-5,13151.92898,5691.626481,,F,adult,M,1,97,41,148,26,,1,non pregnant,mom pup,,,,3,3,1,,16.4
22-Mar-23,85,Bridge,city,BR-6,13151.92898,5691.626481,,F,adult,M,1,93,39,124,23,,1,non pregnant,mom pup,,,,0,0,1,,16.4
22-Mar-23,85,Bridge,city,BR-7,13151.92898,5691.626481,,F,adult,F,1,95,36,137,20,,1,non pregnant,mom pup,,,,1,1,1,,16.4
22-Mar-23,85,Bridge,city,BR-8,13151.92898,5691.626481,,F,adult,M,1,92,44,133,25,,1,non pregnant,mom pup,,,,1,1,1,,16.4
22-Mar-23,85,Bridge,city,BR-9,13151.92898,5691.626481,,F,adult,M,1,91,42,113,24,,1,non pregnant,mom pup,,,,0,0,1,,16.4
22-Mar-23,85,Bridge,city,BR-10,13151.92898,5691.626481,,F,adult,F,1,96,35,136,22,,1,non pregnant,mom pup,pup is newborn,,,3,3,1,,16.4
22-Mar-23,85,Bridge,city,BR-11,13151.92898,5691.626481,,F,adult,F,1,86,38,114,20,,1,non pregnant,mom pup,,,,0,0,1,,16.4
22-Mar-23,85,Bridge,city,BR-12,13151.92898,5691.626481,,F,adult,F,1,93,35,145,20,,1,non pregnant,mom pup,,,,2,2,1,,16.4
22-Mar-23,85,Bridge,city,BR-13,13151.92898,5691.626481,,F,adult,,0,90,,143,,1,,pregnant,pregnant,,,1,1,,1,,16.4
22-Mar-23,85,Bridge,city,BR-14,13151.92898,5691.626481,,F,adult,,0,93,,156,,1,,pregnant,pregnant,,,1,1,,1,,16.4
22-Mar-23,85,Bridge,city,BR-15,13151.92898,5691.626481,,F,adult,,0,95,,152,,1,,pregnant,pregnant,,,4,4,,1,,16.4
22-Mar-23,85,Bridge,city,BR-16,13151.92898,5691.626481,,F,adult,F,1,95,38,138,23,,1,non pregnant,mom pup,,,,0,0,1,,16.4
28-Mar-23,91,Beit Govrin,rural,BG-1,7.714786059,361.8844481,,F,adult,,0,91,,161,,1,,pregnant,pregnant,,45,0,0,,1,,14
28-Mar-23,91,Beit Govrin,rural,BG-2,7.714786059,361.8844481,,F,adult,,0,90,,125,,1,,pregnant,pregnant,,34,0,0,,1,,14
28-Mar-23,91,Beit Govrin,rural,BG-3,7.714786059,361.8844481,,F,adult,,0,96,,172,,1,,pregnant,pregnant,,52,6,6,,1,,14
28-Mar-23,91,Beit Govrin,rural,BG-4,7.714786059,361.8844481,,F,adult,,0,92,,162,,1,,pregnant,pregnant,,52,4,4,,1,,14
28-Mar-23,91,Beit Govrin,rural,BG-5,7.714786059,361.8844481,,F,adult,,0,95,,140,,1,,pregnant,pregnant,,34,1,1,,1,,14
28-Mar-23,91,Beit Govrin,rural,BG-6,7.714786059,361.8844481,,F,adult,,0,93,,112,,1,,pregnant,pregnant,,40,3,3,,1,,14
28-Mar-23,91,Beit Govrin,rural,BG-7,7.714786059,361.8844481,,F,adult,,0,91,,162,,1,,pregnant,pregnant,,51,1,1,,1,,14
28-Mar-23,91,Beit Govrin,rural,BG-8,7.714786059,361.8844481,,F,adult,,0,95,,167,,1,,pregnant,pregnant,,45,2,2,,1,,14
28-Mar-23,91,Beit Govrin,rural,BG-9,7.714786059,361.8844481,,F,adult,,0,91,,129,,,1,non pregnant,non pregnant,,,,0,0,0,,14
28-Mar-23,91,Beit Govrin,rural,BG-10,7.714786059,361.8844481,,F,adult,,0,90,,149,,1,,pregnant,pregnant,,41,2,2,,1,,14
