OBJECTID,SEMEL_YISH,STAT11,YISHUV_STA,SHEM_YISHU,SHEM_YIS_1,Stat11_Uni,Stat11_Ref,Main_Funct,Main_Fun_1,Religion_y,Religion_1,Pop_Total,Male_Total,Female_Tot,age_0_4,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_up,Shape_Leng,Shape_Area,id,Name,type,comments,area_sqm
2,"98","1","980001","כפר מל""ל",KEFAR MALAL,"1",,"1",מגורים,"1",יהודי,324.000000000000000,164.000000000000000,160.000000000000000,28.000000000000000,23.000000000000000,25.000000000000000,19.000000000000000,13.000000000000000,14.000000000000000,19.000000000000000,18.000000000000000,26.000000000000000,25.000000000000000,11.000000000000000,12.000000000000000,20.000000000000000,20.000000000000000,16.000000000000000,11.000000000000000,11.000000000000000,"11",3820.113681686228119,583078.516965178656392,"2",Shontsino,City,,425715940.748
2,"98","1","980001","כפר מל""ל",KEFAR MALAL,"1",,"1",מגורים,"1",יהודי,324.000000000000000,164.000000000000000,160.000000000000000,28.000000000000000,23.000000000000000,25.000000000000000,19.000000000000000,13.000000000000000,14.000000000000000,19.000000000000000,18.000000000000000,26.000000000000000,25.000000000000000,11.000000000000000,12.000000000000000,20.000000000000000,20.000000000000000,16.000000000000000,11.000000000000000,11.000000000000000,"11",3820.113681686228119,583078.516965178656392,"3",Center,City,,386641377.924
2,"98","1","980001","כפר מל""ל",KEFAR MALAL,"1",,"1",מגורים,"1",יהודי,324.000000000000000,164.000000000000000,160.000000000000000,28.000000000000000,23.000000000000000,25.000000000000000,19.000000000000000,13.000000000000000,14.000000000000000,19.000000000000000,18.000000000000000,26.000000000000000,25.000000000000000,11.000000000000000,12.000000000000000,20.000000000000000,20.000000000000000,16.000000000000000,11.000000000000000,11.000000000000000,"11",3820.113681686228119,583078.516965178656392,"4",Bridge,City,,436424106.245
2,"98","1","980001","כפר מל""ל",KEFAR MALAL,"1",,"1",מגורים,"1",יהודי,324.000000000000000,164.000000000000000,160.000000000000000,28.000000000000000,23.000000000000000,25.000000000000000,19.000000000000000,13.000000000000000,14.000000000000000,19.000000000000000,18.000000000000000,26.000000000000000,25.000000000000000,11.000000000000000,12.000000000000000,20.000000000000000,20.000000000000000,16.000000000000000,11.000000000000000,11.000000000000000,"11",3820.113681686228119,583078.516965178656392,"5",Hertzeliya,City,,395795565.036
15,"128","1","1280001",גת רימון,GAT RIMMON,"1",,"1",מגורים,"1",יהודי,317.000000000000000,166.000000000000000,151.000000000000000,32.000000000000000,28.000000000000000,25.000000000000000,12.000000000000000,18.000000000000000,14.000000000000000,21.000000000000000,23.000000000000000,19.000000000000000,35.000000000000000,14.000000000000000,7.000000000000000,15.000000000000000,16.000000000000000,16.000000000000000,10.000000000000000,4.000000000000000,"8",3035.931448698673648,438958.025180619501043,"1",Jaffa,City,,349685862.620
15,"128","1","1280001",גת רימון,GAT RIMMON,"1",,"1",מגורים,"1",יהודי,317.000000000000000,166.000000000000000,151.000000000000000,32.000000000000000,28.000000000000000,25.000000000000000,12.000000000000000,18.000000000000000,14.000000000000000,21.000000000000000,23.000000000000000,19.000000000000000,35.000000000000000,14.000000000000000,7.000000000000000,15.000000000000000,16.000000000000000,16.000000000000000,10.000000000000000,4.000000000000000,"8",3035.931448698673648,438958.025180619501043,"2",Shontsino,City,,425715940.748
15,"128","1","1280001",גת רימון,GAT RIMMON,"1",,"1",מגורים,"1",יהודי,317.000000000000000,166.000000000000000,151.000000000000000,32.000000000000000,28.000000000000000,25.000000000000000,12.000000000000000,18.000000000000000,14.000000000000000,21.000000000000000,23.000000000000000,19.000000000000000,35.000000000000000,14.000000000000000,7.000000000000000,15.000000000000000,16.000000000000000,16.000000000000000,10.000000000000000,4.000000000000000,"8",3035.931448698673648,438958.025180619501043,"3",Center,City,,386641377.924
15,"128","1","1280001",גת רימון,GAT RIMMON,"1",,"1",מגורים,"1",יהודי,317.000000000000000,166.000000000000000,151.000000000000000,32.000000000000000,28.000000000000000,25.000000000000000,12.000000000000000,18.000000000000000,14.000000000000000,21.000000000000000,23.000000000000000,19.000000000000000,35.000000000000000,14.000000000000000,7.000000000000000,15.000000000000000,16.000000000000000,16.000000000000000,10.000000000000000,4.000000000000000,"8",3035.931448698673648,438958.025180619501043,"4",Bridge,City,,436424106.245
15,"128","1","1280001",גת רימון,GAT RIMMON,"1",,"1",מגורים,"1",יהודי,317.000000000000000,166.000000000000000,151.000000000000000,32.000000000000000,28.000000000000000,25.000000000000000,12.000000000000000,18.000000000000000,14.000000000000000,21.000000000000000,23.000000000000000,19.000000000000000,35.000000000000000,14.000000000000000,7.000000000000000,15.000000000000000,16.000000000000000,16.000000000000000,10.000000000000000,4.000000000000000,"8",3035.931448698673648,438958.025180619501043,"5",Hertzeliya,City,,395795565.036
15,"128","1","1280001",גת רימון,GAT RIMMON,"1",,"1",מגורים,"1",יהודי,317.000000000000000,166.000000000000000,151.000000000000000,32.000000000000000,28.000000000000000,25.000000000000000,12.000000000000000,18.000000000000000,14.000000000000000,21.000000000000000,23.000000000000000,19.000000000000000,35.000000000000000,14.000000000000000,7.000000000000000,15.000000000000000,16.000000000000000,16.000000000000000,10.000000000000000,4.000000000000000,"8",3035.931448698673648,438958.025180619501043,"10",Tinshemet,Rural,,695288237.344
